name,author,genres,description,price,qty,image,cloud_url
The Woman in Cabin 10,Ruth Ware,Mystery,"Lo Blacklock, a journalist who writes for a travel magazine, has just been given the assignment of a lifetime: a week on a luxury cruise with only a handful of cabins. The sky is clear, the waters calm, and the veneered, select guests jovial as the exclusive cruise ship, the Aurora, begins her voyage in the picturesque North Sea. At first, Lo's stay is nothing but pleasant: the cabins are plush, the dinner parties are sparkling, and the guests are elegant. But as the week wears on, frigid winds whip the deck, gray skies fall, and Lo witnesses what she can only describe as a dark and terrifying nightmare: a woman being thrown overboard. The problem? All passengers remain accounted for and so, the ship sails on as if nothing has happened, despite Lo's desperate attempts to convey that something (or someone) has gone terribly, terribly wrong.",250,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1465878007i/28187230.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669790/ebooks/kzrbt7dnualto9jmpxyg.jpg
The Silent Patient,Alex Michealides,Thriller,"Alicia Berenson?s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London?s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.Alicia?s refusal to talk, or give any kind of explanation, turns a domestic tragedy into something far grander, a mystery that captures the public imagination and casts Alicia into notoriety. The price of her art skyrockets, and she, the silent patient, is hidden away from the tabloids and spotlight at the Grove, a secure forensic unit in North London.Theo Faber is a criminal psychotherapist who has waited a long time for the opportunity to work with Alicia. His determination to get her to talk and unravel the mystery of why she shot her husband takes him down a twisting path into his own motivations?a search for the truth that threatens to consume him....",200,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1668782119i/40097951.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669797/ebooks/a3gdaeur08x3qutkxvc2.png
The Right Swipe,Alisha Rai,Romance ,"Alisha Rai returns with the first book in her sizzling new Modern Love series, in which two rival dating app creators find themselves at odds in the boardroom but in sync in the bedroom.Rhiannon Hunter may have revolutionized romance in the digital world, but in real life she only swipes right on her career?and the occasional hookup. The cynical dating app creator controls her love life with a few key rules:
- Nude pics are by invitation only
- If someone stands you up, block them with extreme prejudice
- Protect your heart
Only there aren't any rules to govern her attraction to her newest match, former pro-football player Samson Lima. The sexy and seemingly sweet hunk woos her one magical night... and disappears.Rhi thought she'd buried her hurt over Samson ghosting her, until he suddenly surfaces months later, still big, still beautiful?and in league with a business rival. He says he won't fumble their second chance, but she's wary. A temporary physical partnership is one thing, but a merger of hearts? Surely that?s too high a risk?",300,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1564550901i/39863092.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669798/ebooks/skzi8lweggutqs3k3q1h.jpg
The Dating Playbook,Farrah Rochon,Romance ,"When a personal trainer agrees to fake date her client, all rules are out the window in this ""fun, heartfelt, and totally relatable"" romantic comedy named one of the best of the year by USA Today, NPR, and Entertainment Weekly (Abby Jimenez, NYT bestselling author of Life's Too Short).When it comes to personal training, Taylor Powell kicks serious butt. Unfortunately, her bills are piling up, rent is due, and the money situation is dire. Taylor needs more than the support of her new best friends, Samiah and London. She needs a miracle.And Jamar Dixon might just be it. The oh-so-fine former footballer wants back into the NFL, and he wants Taylor to train him. There's just one catch?no one can know what they're doing. But when they're accidentally outed as a couple, Taylor's game plan is turned completely upside down. Is Jamar just playing to win . . . or is he playing for keeps?USA Today Best Rom-Coms of 2021NPR Best Romances of 2021Kirkus Best Romances of the YearVulture Best Romances of 2021SheReads Best of the Year nominee ? Romance ",250,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1607427006i/55919760.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669799/ebooks/qeuialz8nkjwmr4dqwrp.jpg
People We Meet on Vacation,Emily Henry,Romance ,"From the New York Times bestselling author of Beach Read, a sparkling new novel that will leave you with the warm, hazy afterglow usually reserved for the best vacations. Poppy and Alex. Alex and Poppy. They have nothing in common. She's a wild child; he wears khakis. She has insatiable wanderlust; he prefers to stay home with a book. And somehow, ever since a fateful car share home from college many years ago, they are the very best of friends. For most of the year they live far apart--she's in New York City, and he's in their small hometown--but every summer, for a decade, they have taken one glorious week of vacation together. Until two years ago, when they ruined everything. They haven't spoken since. Poppy has everything she should want, but she's stuck in a rut. When someone asks when she was last truly happy, she knows, without a doubt, it was on that ill-fated, final trip with Alex. And so, she decides to convince her best friend to take one more vacation together--lay everything on the table, make it all right. Miraculously, he agrees. Now she has a week to fix everything. If only she can get around the one big truth that has always stood quietly in the middle of their seemingly perfect relationship. What could possibly go wrong?",350,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618913179i/54985743.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669801/ebooks/xdz3go9g0c8anre49pig.jpg
The Book of Two Ways,Jodi Picoult,Romance ,"Everything changes in a single moment for Dawn Edelstein. She's on a plane when the flight attendant makes an announcement: prepare for a crash landing. She braces herself as thoughts flash through her mind. The shocking thing is, the thoughts are not of her husband, but a man she last saw fifteen years ago: Wyatt Armstrong.

Dawn, miraculously, survives the crash, but so do all the doubts that have suddenly been raised. She has led a good life. Back in Boston, there is her husband, Brian, her beloved daughter, and her work as a death doula, where she helps ease the transition between life and death for patients in hospice.

But somewhere in Egypt is Wyatt Armstrong, who works as an archaeologist unearthing ancient burial sites, a job she once studied for, but was forced to abandon when life suddenly intervened. And now, when it seems that fate is offering her second chances, she is not as sure of the choice she once made.

After the crash landing, the airline ensures the survivors are seen by a doctor, then offers transportation wherever they want to go. The obvious option for Dawn is to continue down the path she is on and go home to her family. The other is to return to the archaeological site she left years before, reconnect with Wyatt and their unresolved history, and maybe even complete her research on The Book of Two Ways--the first known map of the afterlife.

As the story unfolds, Dawn's two possible futures unspool side by side, as do the secrets and doubts long buried beside them. Dawn must confront the questions she's never truly asked: What does a life well-lived look like? When we leave this earth, what do we leave behind? Do we make choices...or do our choices make us? And who would you be, if you hadn't turned out to be the person you are right now?",200,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585070977i/50265329.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669813/ebooks/qwp8peqj3aw6w3ibsynv.jpg
You and Me on Vacation,Emily Henry,Romance ,"Two best friends. Ten summer trips. One last chance to fall in love.

Poppy and Alex. Alex and Poppy. They have nothing in common. She?s a wild child; he wears khakis. She has insatiable wanderlust; he prefers to stay home with a book. And somehow, ever since a fateful car share home from college many years ago, they are the very best of friends. For most of the year they live far apart?she?s in New York City, and he?s in their small hometown?but every summer, for a decade, they have taken one glorious week of vacation together.

Until two years ago, when they ruined everything. They haven?t spoken since.

Poppy has everything she should want, but she?s stuck in a rut. When someone asks when she was last truly happy, she knows, without a doubt, it was on that ill-fated, final trip with Alex. And so, she decides to convince her best friend to take one more vacation together?lay everything on the table, make it all right. Miraculously, he agrees.

Now she has a week to fix everything. If only she can get around the one big truth that has always stood quietly in the middle of their seemingly perfect relationship. What could possibly go wrong?",250,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1605761138i/55275757.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669814/ebooks/qbnfefyjbdxlrwn59xog.jpg
The Last Chance Library,Freya Sampson,Romance ,"June Jones emerges from her shell to fight for her beloved local library, and through the efforts and support of an eclectic group of library patrons, she discovers life-changing friendships along the way.

Lonely librarian June Jones has never left the sleepy English village where she grew up. Shy and reclusive, the thirty-year-old would rather spend her time buried in books than venture out into the world. But when her library is threatened with closure, June is forced to emerge from behind the shelves to save the heart of her community and the place that holds the dearest memories of her mother.

Joining a band of eccentric yet dedicated locals in a campaign to keep the library, June opens herself up to other people for the first time since her mother died. It just so happens that her old school friend Alex Chen is back in town and willing to lend a helping hand. The kindhearted lawyer's feelings for her are obvious to everyone but June, who won't believe that anyone could ever care for her in that way.

To save the place and the books that mean so much to her, June must finally make some changes to her life. For once, she's determined not to go down without a fight. And maybe, in fighting for her cherished library, June can save herself, too.",300,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1616423054i/56377192.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669819/ebooks/dvn77czri5mjvtncgrjl.jpg
The Ex Talk,Rachel Lynn Solomon,Romance ,"Shay Goldstein has been a producer at her Seattle public radio station for nearly a decade, and she can't imagine working anywhere else. But lately it's been a constant clash between her and her newest colleague, Dominic Yun, who's fresh off a journalism master's program and convinced he knows everything about public radio.

When the struggling station needs a new concept, Shay proposes a show that her boss green-lights with excitement. On The Ex Talk, two exes will deliver relationship advice live, on air. Their boss decides Shay and Dominic are the perfect co-hosts, given how much they already despise each other. Neither loves the idea of lying to listeners, but it's this or unemployment. Their audience gets invested fast, and it's not long before The Ex Talk becomes a must-listen in Seattle and climbs podcast charts.

As the show gets bigger, so does their deception, especially when Shay and Dominic start to fall for each other. In an industry that values truth, getting caught could mean the end of more than just their careers.",250,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1589505942i/53415121.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669820/ebooks/edafgohe7ksviymhxpb9.jpg
The Guncle,Steven Rowley,Romance ,"Patrick, or Gay Uncle Patrick (GUP, for short), has always loved his niece, Maisie, and nephew, Grant. That is, he loves spending time with them when they come out to Palm Springs for weeklong visits, or when he heads home to Connecticut for the holidays. But in terms of caretaking and relating to two children, no matter how adorable, Patrick is honestly a bit out of his league.

So when tragedy strikes and Maisie and Grant lose their mother and Patrick?s brother has a health crisis of his own, Patrick finds himself suddenly taking on the role of primary guardian. Despite having a set of ?Guncle Rules? ready to go, Patrick has no idea what to expect, having spent years barely holding on after the loss of his great love, a somewhat-stalled career, and a lifestyle not-so-suited to a six- and a nine-year-old. Quickly realizing that parenting?even if temporary?isn?t solved with treats and jokes, Patrick?s eyes are opened to a new sense of responsibility, and the realization that, sometimes, even being larger than life means you?re unfailingly human.",400,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1594848421i/54508798.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669821/ebooks/jfxnbgqdtbqkrubb31mk.jpg
